item,title,genres,ratings
1,Plant operation workers,Other,1
2,Banker,Other,1
3,Call Center,Other,2
4,Hair Stylist,Other,1
5,Beautician,Other,1
6,Personal Fitness Trainer,Other,1
7,Massage Therapist,Other,1
8,Retail,Other,1
9,Sales,Other,1
10,"Special sport Instructor (ski, fotball coach etc)",Other,1
11,Waiter,Other,1
12,Wedding Planner,Other,1
13,Amusement and Recreation Attendants,Other,1
14,Bakers,Other,1
15,Baristas,Other,1
16,Bartenders,Other,1
17,"Chefs, Cooks (Cafeteria, Restaurant, Fast Food, Street stand)",Other,1
18,Food Preparation and Serving Workers,Other,1
19,Concierges,Other,1
20,Hotel manager,Other,1
21,Dishwashers,Other,1
22,Housekeepinger,Other,1
23,Hosts and Hostesses,Other,1
24,Interpreters and Translators,Other,1
25,Baby sitters,Other,1
26,"Meeting, Convention, and Event Planners",Other,1
27,Museum Technicians and Conservators,Other,1
28,Recreation Workers,Other,1
29,Reservation and Transportation Ticket Agents and Travel Clerks,Other,1
30,Brick Mason,Other,1
31,Carpenter,Other,1
32,Construction,Other,1
33,Custodian,Other,1
34,Electrician,Other,1
35,Firefighter,Other,1
36,Heavy Equipment Operator (Construction sites),Other,1
37,Home Health Aide,Other,1
38,"Gardening, Landscaping, and Groundskeeping",Other,1
39,Machinist & Public transport driver,Other,1
40,Maintenance at big inistitutions,Other,1
41,Painter,Other,1
42,Pipefitter,Other,1
43,Plumber,Other,1
44,Truck Driver / Delivery,Other,1
45,DJ,Other,1
46,Actor,Other,1
47,Musician,Other,1
48,TV Meditor,Other,1
49,Kindergarden teacher,Education,1
50,School teacher,Education,1
51,Health care specialist,Other,1
52,Warehouse worker,Other,1
53,Psychologist,Other,1
54,Delivery driver,Other,1
55,Social media operator,Other,1
56,Funeral worker,Other,1
57,Ambulatory care nursing,Health Care,1
58,Advanced practice nursing,Health Care,1
59,Burn nursing,Health Care,1
60,Camp nursing,Health Care,1
61,Cardiac nursing,Health Care,1
62,Cardiac Intervention nursing,Health Care,1
63,Diabetes Nursing,Health Care,1
64,Dental nursing,Health Care,1
65,Medical case management,Health Care,1
66,Community health nursing,Health Care,1
67,Correctional nursing,Health Care,1
68,Critical care nursing,Health Care,1
69,Emergency nursing,Health Care,1
70,Environmental health nursing,Health Care,1
71,Faith community nursing,Health Care,1
72,Flight nursing,Health Care,1
73,Forensic nursing,Health Care,1
74,Gastroenterology nursing,Health Care,1
75,Genetics nursing,Health Care,1
76,Geriatric nursing,Health Care,1
77,Health visiting,Health Care,1
78,Holistic nursing,Health Care,1
79,Home health nursing,Health Care,1
80,Hospice and palliative care nursing,Health Care,1
81,Hyperbaric nursing,Health Care,1
82,Immunology and allergy nursing,Health Care,1
83,Intravenous therapy nursing,Health Care,1
84,Infection control nursing,Health Care,1
85,Infectious disease nursing,Health Care,1
86,Legal nurse consultant,Health Care,1
87,Maternal-child nursing,Health Care,1
88,Medical-surgical nursing,Health Care,1
89,Military and uniformed services nursing,Health Care,1
90,Neonatal nursing,Health Care,1
91,Neurosurgical nursing,Health Care,1
92,Nephrology nursing,Health Care,1
93,Nurse attorney,Health Care,1
94,Nursing informatics,Health Care,1
95,Nursing management,Health Care,1
96,Nursing research,Health Care,1
97,Nurse midwifery,Health Care,1
98,Obstetrical nursing,Health Care,1
99,Occupational health nursing,Health Care,1
100,Oncology nursing,Health Care,1
101,Orthopaedic nursing,Health Care,1
102,Ostomy nursing,Health Care,1
