item,title,genres,ratings
1,Plant operation worker,Architecture and Construction,1
2,Banker,Finance,3
3,Call Center,IT,2
4,Hair Stylist,Services,2
5,Beautician,Services,2
6,Personal Fitness Trainer,Education,5
7,Massage Therapist,Services,2
8,Retail,Marketing,3
9,Waiter,Hospitality,1
10,Wedding Planner,Services,2
11,Baker,Hospitality,1
12,Bartender,Hospitality,1
13,Chef,Hospitality,1
14,Hotel Manager,Hospitality,1
15,Teacher,Education,5
16,Doctor,Healthcare,1
17,Electrician,Services,1
18,DJ,Arts,1
19,Musician,Arts,1
20,Photographer,Art,1
21,Police officer,Law,1
